X.1,School,Type,Applied,Offers,school_clean,URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL,OFSTEDRATING,OFSTEDLASTINSP,lat,lng
1,Westminster School ,Independent,198,79,Westminster School,101162.0,Westminster,213.0,6047.0,2136047.0,Westminster School,Little Dean's Yard,,,London,SW1P 3PF,Open,,,Independent school,Other independent school,0.0,1.0,1.0,12.0,19.0,Mixed,Church of England,Not applicable,,,51.4985891,-0.1279033
1,Westminster School ,Independent,198,79,Westminster School,132233.0,Sandwell,333.0,7019.0,3337019.0,The Westminster School,Hawes Lane,,,Rowley Regis,B65 9AL,Open,,,Special school,Community special school,1.0,1.0,1.0,7.0,19.0,Mixed,Does not apply,Not applicable,Outstanding,22-11-2017,51.4985891,-0.1279033
2,Hills Road Sixth Form College,State,300 ,69,Hills Road Sixth Form College,130615.0,Cambridgeshire,873.0,8600.0,8738600.0,Hills Road Sixth Form College,Hills Road,,,Cambridge,CB2 8PE,Open,,,College,Further education,0.0,0.0,1.0,16.0,19.0,Mixed,Does not apply,Not applicable,Outstanding,04-02-2022,52.1881468,0.1352893
3,Peter Symonds College,State ,208 ,56,Peter Symonds College,130708.0,Hampshire,850.0,8609.0,8508609.0,Peter Symonds College,Owens Road,,,Winchester,SO22 6RX,Open,,,College,Further education,0.0,0.0,1.0,16.0,99.0,Mixed,Does not apply,Not applicable,Outstanding,17-01-2020,51.0720597,-1.3213119
4,Brampton Manor Academy ,State ,242,54,Brampton Manor Academy,136669.0,Newham,316.0,4031.0,3164031.0,Brampton Manor Academy,Roman Road,,,London,E6 3SQ,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,Does not apply,Non-selective,Outstanding,08-02-2018,51.5222211,0.0419463
5,Brighton Hove and Sussex Sixth Form College,State ,219,52,Brighton Hove and Sussex Sixth Form College,130669.0,Brighton and Hove,846.0,8601.0,8468601.0,Brighton Hove and Sussex Sixth Form College,205 Dyke Road,,,Hove,BN3 6EG,Open,,,College,Further education,0.0,0.0,1.0,16.0,19.0,Mixed,Does not apply,Not applicable,Outstanding,12-10-2012,50.8344842,-0.1512518
6,The Perse School ,Independent,137,48,Perse School,110923.0,Cambridgeshire,873.0,6010.0,8736010.0,The Perse School,Hills Road,Trumpington,Hills Road,Cambridge,CB2 8QF,Open,,,Independent school,Other independent school,1.0,1.0,1.0,3.0,18.0,Mixed,None,Not applicable,,,52.18092040000001,0.1389331
7,Eton College ,Independent ,194 ,47,Eton College,110158.0,Windsor and Maidenhead,868.0,6016.0,8686016.0,Eton College,Eton,Windsor,Berkshire,Windsor,SL4 6DW,Open,,,Independent school,Other independent school,0.0,1.0,1.0,12.0,19.0,Boys,Church of England,Selective,,,51.49573549999999,-0.6044396
8,"St Paul’s Girls School, London",Independent  , 98 ,46,St Pauls Girls School,100366.0,Hammersmith and Fulham,205.0,6011.0,2056011.0,St Paul's Girls' School,Brook Green,,,London,W6 7BS,Open,,,Independent school,Other independent school,1.0,1.0,1.0,10.0,19.0,Girls,Church of England,Not applicable,,,51.4951774,-0.2189058
9,"St Paul’s School, London",Independent ,154 ,40,St Pauls School,102942.0,Richmond upon Thames,318.0,6066.0,3186066.0,St Paul's School,Lonsdale Road,Barnes,,London,SW13 9JT,Open,,,Independent school,Other independent school,1.0,1.0,1.0,7.0,18.0,Boys,Church of England,Not applicable,,,51.4884697,-0.2387089
9,"St Paul’s School, London",Independent ,154 ,40,St Pauls School,135208.0,Birmingham,330.0,6115.0,3306115.0,St Paul's School,73 Hertford Street,,Balsall Heath,Birmingham,B12 8NJ,Open,,,Special school,Other independent special school,1.0,1.0,1.0,7.0,19.0,Mixed,None,Selective,Good,02-12-2021,51.4884697,-0.2387089
10,"Queen Elizabeth’s School, Barnet",State ,103 ,39 ,Queen Elizabeths School,136290.0,Barnet,302.0,5401.0,3025401.0,"Queen Elizabeth's School, Barnet",Queen's Road,,,Barnet,EN5 4DQ,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Boys,None,Selective,,,51.6553463,-0.2128734
10,"Queen Elizabeth’s School, Barnet",State ,103 ,39 ,Queen Elizabeths School,141526.0,Dorset,838.0,4504.0,8384504.0,Queen Elizabeth's School,Blandford Road,Pamphill,,Wimborne,BH21 4DT,Open,,,Academy,Academy converter,0.0,1.0,1.0,13.0,18.0,Mixed,Church of England,Non-selective,Good,19-09-2017,51.6553463,-0.2128734
11,St Olave's and St Saviour's Grammar School,State ,126 ,37 ,St Olaves and St Saviours Grammar School,101676.0,Bromley,305.0,5410.0,3055410.0,St Olave's and St Saviour's Grammar School,Goddington Lane,,,Orpington,BR6 9SH,Open,,,Maintained school,Voluntary aided school,0.0,1.0,1.0,11.0,18.0,Boys,Church of England,Selective,Outstanding,07-03-2014,51.36782239999999,0.1033978
12,Harris Westminster Sixth Form ,State ,138,35,Harris Westminster Sixth Form,140939.0,Westminster,213.0,4001.0,2134001.0,Harris Westminster Sixth Form,"Steel House, 11 Tothill Street",Westminster,,London,SW1H 9LH,Open,,,College,Free schools 16 to 19,0.0,0.0,1.0,16.0,19.0,Mixed,None,,Outstanding,06-10-2016,51.4995541,-0.1311005
13,"Magdalen College School, Oxford",Independent,120,32 ,Magdalen College School,123311.0,Oxfordshire,931.0,6094.0,9316094.0,Magdalen College School,Cowley Place,,,Oxford,OX4 1DZ,Open,,,Independent school,Other independent school,1.0,1.0,1.0,7.0,19.0,Mixed,Christian,Not applicable,,,51.74966920000001,-1.2442828
13,"Magdalen College School, Oxford",Independent,120,32 ,Magdalen College School,139158.0,West Northamptonshire,941.0,4550.0,9414550.0,Magdalen College School,Waynflete Avenue,,,Brackley,NN13 6FB,Open,,,Academy,Academy converter,0.0,1.0,1.0,11.0,18.0,Mixed,None,Non-selective,Good,04-03-2020,51.74966920000001,-1.2442828
14,City of London School ,Independent,105 ,31,City of London School,100003.0,City of London,201.0,6007.0,2016007.0,City of London School,107 Queen Victoria Street,,,London,EC4V 3AL,Open,,,Independent school,Other independent school,1.0,1.0,1.0,10.0,18.0,Boys,None,Not applicable,,,51.51114870000001,-0.09884609999999999
15,Sevenoaks School ,Independent,123,31,Sevenoaks School,118952.0,Kent,886.0,6014.0,8866014.0,Sevenoaks School,High Street,Sevenoaks,Kent,Sevenoaks,TN13 1HU,Open,,,Independent school,Other independent school,0.0,1.0,1.0,11.0,18.0,Mixed,None,Not applicable,,,51.2661399,0.1954209
